REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2016/09/01 00:30:00,7702.93,39.52,TRADE
NSW1,2016/09/01 01:00:00,7588.75,49.84,TRADE
NSW1,2016/09/01 01:30:00,7386.97,46.42,TRADE
NSW1,2016/09/01 02:00:00,7137.67,39.21,TRADE
NSW1,2016/09/01 02:30:00,6773.95,33.48,TRADE
NSW1,2016/09/01 03:00:00,6544.86,32.23,TRADE
NSW1,2016/09/01 03:30:00,6344.69,29.96,TRADE
NSW1,2016/09/01 04:00:00,6313.66,33.12,TRADE
NSW1,2016/09/01 04:30:00,6269.66,29.94,TRADE
NSW1,2016/09/01 05:00:00,6393.42,31.35,TRADE
NSW1,2016/09/01 05:30:00,6702.29,42.50,TRADE
NSW1,2016/09/01 06:00:00,7082.83,38.60,TRADE
NSW1,2016/09/01 06:30:00,7840.29,58.82,TRADE
NSW1,2016/09/01 07:00:00,8438.77,122.15,TRADE
NSW1,2016/09/01 07:30:00,8632.44,61.50,TRADE
NSW1,2016/09/01 08:00:00,8709.33,67.60,TRADE
NSW1,2016/09/01 08:30:00,8647.18,64.48,TRADE
NSW1,2016/09/01 09:00:00,8395.92,56.82,TRADE
NSW1,2016/09/01 09:30:00,8276.94,54.67,TRADE
NSW1,2016/09/01 10:00:00,8143.73,54.90,TRADE
NSW1,2016/09/01 10:30:00,8115.51,55.74,TRADE
NSW1,2016/09/01 11:00:00,8048.42,56.87,TRADE
NSW1,2016/09/01 11:30:00,7972.38,56.02,TRADE
NSW1,2016/09/01 12:00:00,7964.27,56.52,TRADE
NSW1,2016/09/01 12:30:00,7936.62,56.09,TRADE
NSW1,2016/09/01 13:00:00,7864.55,55.12,TRADE
NSW1,2016/09/01 13:30:00,7904.08,57.54,TRADE
NSW1,2016/09/01 14:00:00,7878.63,59.39,TRADE
NSW1,2016/09/01 14:30:00,7892.05,61.31,TRADE
NSW1,2016/09/01 15:00:00,7871.69,55.98,TRADE
NSW1,2016/09/01 15:30:00,7869.74,57.57,TRADE
NSW1,2016/09/01 16:00:00,8028.07,61.68,TRADE
NSW1,2016/09/01 16:30:00,8122.45,53.02,TRADE
NSW1,2016/09/01 17:00:00,8320.72,54.80,TRADE
NSW1,2016/09/01 17:30:00,8668.22,51.60,TRADE
NSW1,2016/09/01 18:00:00,9185.41,66.80,TRADE
NSW1,2016/09/01 18:30:00,9418.48,69.14,TRADE
NSW1,2016/09/01 19:00:00,9378.45,68.40,TRADE
NSW1,2016/09/01 19:30:00,9166.02,56.38,TRADE
NSW1,2016/09/01 20:00:00,8941.66,53.95,TRADE
NSW1,2016/09/01 20:30:00,8815.27,53.04,TRADE
NSW1,2016/09/01 21:00:00,8648.74,42.52,TRADE
NSW1,2016/09/01 21:30:00,8392.75,42.74,TRADE
NSW1,2016/09/01 22:00:00,8135.11,36.39,TRADE
NSW1,2016/09/01 22:30:00,8138.38,56.84,TRADE
NSW1,2016/09/01 23:00:00,7979.77,52.77,TRADE
NSW1,2016/09/01 23:30:00,7924.44,49.61,TRADE
NSW1,2016/09/02 00:00:00,7834.33,49.41,TRADE
NSW1,2016/09/02 00:30:00,7670.26,42.05,TRADE
NSW1,2016/09/02 01:00:00,7461.41,35.61,TRADE
NSW1,2016/09/02 01:30:00,7305.29,36.04,TRADE
NSW1,2016/09/02 02:00:00,7113.07,36.23,TRADE
NSW1,2016/09/02 02:30:00,6746.55,35.52,TRADE
NSW1,2016/09/02 03:00:00,6500.1,35.45,TRADE
NSW1,2016/09/02 03:30:00,6310.25,33.11,TRADE
NSW1,2016/09/02 04:00:00,6248.06,30.50,TRADE
NSW1,2016/09/02 04:30:00,6245.72,30.15,TRADE
NSW1,2016/09/02 05:00:00,6353.04,33.76,TRADE
NSW1,2016/09/02 05:30:00,6624.52,34.76,TRADE
NSW1,2016/09/02 06:00:00,6979.31,34.84,TRADE
NSW1,2016/09/02 06:30:00,7646.7,52.73,TRADE
NSW1,2016/09/02 07:00:00,8264.41,77.41,TRADE
NSW1,2016/09/02 07:30:00,8622.16,63.73,TRADE
NSW1,2016/09/02 08:00:00,8937.25,86.66,TRADE
NSW1,2016/09/02 08:30:00,9046.83,88.21,TRADE
NSW1,2016/09/02 09:00:00,9000.13,70.70,TRADE
NSW1,2016/09/02 09:30:00,9047.38,80.09,TRADE
NSW1,2016/09/02 10:00:00,9131.13,75.49,TRADE
NSW1,2016/09/02 10:30:00,9116.67,85.54,TRADE
NSW1,2016/09/02 11:00:00,9088.88,79.82,TRADE
NSW1,2016/09/02 11:30:00,8972.28,73.03,TRADE
NSW1,2016/09/02 12:00:00,8947.45,71.47,TRADE
NSW1,2016/09/02 12:30:00,8910.43,68.05,TRADE
NSW1,2016/09/02 13:00:00,8849.09,67.53,TRADE
NSW1,2016/09/02 13:30:00,8780.16,76.27,TRADE
NSW1,2016/09/02 14:00:00,8736.94,73.90,TRADE
NSW1,2016/09/02 14:30:00,8711.29,66.24,TRADE
NSW1,2016/09/02 15:00:00,8696.09,60.68,TRADE
NSW1,2016/09/02 15:30:00,8625.08,52.39,TRADE
NSW1,2016/09/02 16:00:00,8779.14,60.74,TRADE
NSW1,2016/09/02 16:30:00,8918.38,71.49,TRADE
NSW1,2016/09/02 17:00:00,9133.35,71.76,TRADE
NSW1,2016/09/02 17:30:00,9334.62,68.06,TRADE
NSW1,2016/09/02 18:00:00,9605.9,69.09,TRADE
NSW1,2016/09/02 18:30:00,9663.8,73.09,TRADE
NSW1,2016/09/02 19:00:00,9546.49,69.51,TRADE
NSW1,2016/09/02 19:30:00,9265.01,55.05,TRADE
NSW1,2016/09/02 20:00:00,9021.55,66.37,TRADE
NSW1,2016/09/02 20:30:00,8801.42,61.10,TRADE
NSW1,2016/09/02 21:00:00,8607.22,51.82,TRADE
NSW1,2016/09/02 21:30:00,8371.66,41.15,TRADE
NSW1,2016/09/02 22:00:00,8161.89,35.73,TRADE
NSW1,2016/09/02 22:30:00,8193.96,47.72,TRADE
NSW1,2016/09/02 23:00:00,8035.44,37.52,TRADE
NSW1,2016/09/02 23:30:00,7944.57,40.14,TRADE
NSW1,2016/09/03 00:00:00,7870.19,46.96,TRADE
NSW1,2016/09/03 00:30:00,7701.47,37.35,TRADE
NSW1,2016/09/03 01:00:00,7526.48,35.79,TRADE
NSW1,2016/09/03 01:30:00,7348.67,36.28,TRADE
NSW1,2016/09/03 02:00:00,7030.51,34.97,TRADE
NSW1,2016/09/03 02:30:00,6704.94,37.05,TRADE
NSW1,2016/09/03 03:00:00,6443.09,32.72,TRADE
NSW1,2016/09/03 03:30:00,6303.78,33.82,TRADE
NSW1,2016/09/03 04:00:00,6099.52,30.36,TRADE
NSW1,2016/09/03 04:30:00,6029.29,30.75,TRADE
NSW1,2016/09/03 05:00:00,6032.51,30.58,TRADE
NSW1,2016/09/03 05:30:00,6158.64,32.31,TRADE
NSW1,2016/09/03 06:00:00,6269.53,30.47,TRADE
NSW1,2016/09/03 06:30:00,6526.43,37.07,TRADE
NSW1,2016/09/03 07:00:00,6745.46,42.31,TRADE
NSW1,2016/09/03 07:30:00,7053.1,40.55,TRADE
NSW1,2016/09/03 08:00:00,7402.61,47.18,TRADE
NSW1,2016/09/03 08:30:00,7697.24,66.43,TRADE
NSW1,2016/09/03 09:00:00,7914,65.95,TRADE
NSW1,2016/09/03 09:30:00,8044.99,65.21,TRADE
NSW1,2016/09/03 10:00:00,8011.41,49.40,TRADE
NSW1,2016/09/03 10:30:00,7952.62,52.17,TRADE
NSW1,2016/09/03 11:00:00,7744.41,38.98,TRADE
NSW1,2016/09/03 11:30:00,7505.25,36.47,TRADE
NSW1,2016/09/03 12:00:00,7436.4,36.03,TRADE
NSW1,2016/09/03 12:30:00,7365.19,31.62,TRADE
NSW1,2016/09/03 13:00:00,7343.44,33.60,TRADE
NSW1,2016/09/03 13:30:00,7214.98,33.29,TRADE
NSW1,2016/09/03 14:00:00,7108.03,30.36,TRADE
NSW1,2016/09/03 14:30:00,7047.56,31.26,TRADE
NSW1,2016/09/03 15:00:00,7135.06,32.41,TRADE
NSW1,2016/09/03 15:30:00,7131.54,34.47,TRADE
NSW1,2016/09/03 16:00:00,7223.09,37.30,TRADE
NSW1,2016/09/03 16:30:00,7377.72,35.09,TRADE
NSW1,2016/09/03 17:00:00,7581.47,34.88,TRADE
NSW1,2016/09/03 17:30:00,7813.81,40.36,TRADE
NSW1,2016/09/03 18:00:00,8362.65,56.55,TRADE
NSW1,2016/09/03 18:30:00,8755.22,137.48,TRADE
NSW1,2016/09/03 19:00:00,8771.31,102.66,TRADE
NSW1,2016/09/03 19:30:00,8589.55,63.10,TRADE
NSW1,2016/09/03 20:00:00,8447.11,51.47,TRADE
NSW1,2016/09/03 20:30:00,8267.63,49.95,TRADE
NSW1,2016/09/03 21:00:00,8175.93,46.23,TRADE
NSW1,2016/09/03 21:30:00,7998.12,46.86,TRADE
NSW1,2016/09/03 22:00:00,7902.39,39.07,TRADE
NSW1,2016/09/03 22:30:00,7890.42,41.79,TRADE
NSW1,2016/09/03 23:00:00,7687.24,36.21,TRADE
NSW1,2016/09/03 23:30:00,7620.21,35.50,TRADE
NSW1,2016/09/04 00:00:00,7479.14,38.78,TRADE
NSW1,2016/09/04 00:30:00,7289.05,38.44,TRADE
NSW1,2016/09/04 01:00:00,7062.87,39.04,TRADE
NSW1,2016/09/04 01:30:00,6834.63,38.70,TRADE
NSW1,2016/09/04 02:00:00,6667.81,35.01,TRADE
NSW1,2016/09/04 02:30:00,6386.4,33.43,TRADE
NSW1,2016/09/04 03:00:00,6189.79,29.89,TRADE
NSW1,2016/09/04 03:30:00,6098.65,33.56,TRADE
NSW1,2016/09/04 04:00:00,6044.57,30.53,TRADE
NSW1,2016/09/04 04:30:00,5973.31,29.62,TRADE
NSW1,2016/09/04 05:00:00,5965.15,31.41,TRADE
NSW1,2016/09/04 05:30:00,6066.68,32.83,TRADE
NSW1,2016/09/04 06:00:00,6150.67,30.16,TRADE
NSW1,2016/09/04 06:30:00,6340.11,32.99,TRADE
NSW1,2016/09/04 07:00:00,6635.46,36.75,TRADE
NSW1,2016/09/04 07:30:00,6911.62,38.01,TRADE
NSW1,2016/09/04 08:00:00,7215.61,38.65,TRADE
NSW1,2016/09/04 08:30:00,7463.53,47.85,TRADE
NSW1,2016/09/04 09:00:00,7535.92,49.01,TRADE
NSW1,2016/09/04 09:30:00,7608.04,44.85,TRADE
NSW1,2016/09/04 10:00:00,7506.71,39.64,TRADE
NSW1,2016/09/04 10:30:00,7418.12,36.56,TRADE
NSW1,2016/09/04 11:00:00,7237.4,36.10,TRADE
NSW1,2016/09/04 11:30:00,7038.52,31.95,TRADE
NSW1,2016/09/04 12:00:00,6936.4,30.02,TRADE
NSW1,2016/09/04 12:30:00,6842.37,29.89,TRADE
NSW1,2016/09/04 13:00:00,6760.13,29.82,TRADE
NSW1,2016/09/04 13:30:00,6636.33,29.91,TRADE
NSW1,2016/09/04 14:00:00,6580.28,29.85,TRADE
NSW1,2016/09/04 14:30:00,6580.12,30.01,TRADE
NSW1,2016/09/04 15:00:00,6645.74,29.86,TRADE
NSW1,2016/09/04 15:30:00,6691.11,33.89,TRADE
NSW1,2016/09/04 16:00:00,6865.32,36.47,TRADE
NSW1,2016/09/04 16:30:00,7102.33,37.87,TRADE
NSW1,2016/09/04 17:00:00,7385.74,39.04,TRADE
NSW1,2016/09/04 17:30:00,7655.93,44.22,TRADE
NSW1,2016/09/04 18:00:00,8248.42,53.54,TRADE
NSW1,2016/09/04 18:30:00,8779.51,78.92,TRADE
NSW1,2016/09/04 19:00:00,8809.21,93.44,TRADE
NSW1,2016/09/04 19:30:00,8735.72,65.18,TRADE
NSW1,2016/09/04 20:00:00,8587.73,71.72,TRADE
NSW1,2016/09/04 20:30:00,8569.49,71.38,TRADE
NSW1,2016/09/04 21:00:00,8454.63,57.91,TRADE
NSW1,2016/09/04 21:30:00,8275.06,65.20,TRADE
NSW1,2016/09/04 22:00:00,8077.96,54.43,TRADE
NSW1,2016/09/04 22:30:00,7982.07,52.37,TRADE
NSW1,2016/09/04 23:00:00,7729.75,48.52,TRADE
NSW1,2016/09/04 23:30:00,7561.7,38.46,TRADE
NSW1,2016/09/05 00:00:00,7435.73,43.96,TRADE
NSW1,2016/09/05 00:30:00,7249.77,44.84,TRADE
NSW1,2016/09/05 01:00:00,7150.61,45.24,TRADE
NSW1,2016/09/05 01:30:00,6992.9,46.59,TRADE
NSW1,2016/09/05 02:00:00,6870.88,42.80,TRADE
NSW1,2016/09/05 02:30:00,6582.22,34.31,TRADE
NSW1,2016/09/05 03:00:00,6377.63,35.28,TRADE
NSW1,2016/09/05 03:30:00,6262.33,37.58,TRADE
NSW1,2016/09/05 04:00:00,6215.41,35.35,TRADE
NSW1,2016/09/05 04:30:00,6286.58,51.05,TRADE
NSW1,2016/09/05 05:00:00,6410.89,53.39,TRADE
NSW1,2016/09/05 05:30:00,6765.48,51.26,TRADE
NSW1,2016/09/05 06:00:00,7215.2,56.83,TRADE
NSW1,2016/09/05 06:30:00,8013.5,65.55,TRADE
NSW1,2016/09/05 07:00:00,8680.82,140.01,TRADE
NSW1,2016/09/05 07:30:00,8976.44,77.23,TRADE
NSW1,2016/09/05 08:00:00,9109.1,100.71,TRADE
NSW1,2016/09/05 08:30:00,9088.61,94.98,TRADE
NSW1,2016/09/05 09:00:00,8833,54.57,TRADE
NSW1,2016/09/05 09:30:00,8644.07,45.23,TRADE
NSW1,2016/09/05 10:00:00,8450.71,38.57,TRADE
NSW1,2016/09/05 10:30:00,8314.65,36.69,TRADE
NSW1,2016/09/05 11:00:00,8153.19,36.23,TRADE
NSW1,2016/09/05 11:30:00,8003.53,37.03,TRADE
NSW1,2016/09/05 12:00:00,7912.12,36.19,TRADE
NSW1,2016/09/05 12:30:00,7782.76,35.67,TRADE
NSW1,2016/09/05 13:00:00,7758.11,34.77,TRADE
NSW1,2016/09/05 13:30:00,7741.37,34.48,TRADE
NSW1,2016/09/05 14:00:00,7754.03,36.27,TRADE
NSW1,2016/09/05 14:30:00,7745.25,35.84,TRADE
NSW1,2016/09/05 15:00:00,7765.01,36.72,TRADE
NSW1,2016/09/05 15:30:00,7828.21,36.78,TRADE
NSW1,2016/09/05 16:00:00,7985.63,39.20,TRADE
NSW1,2016/09/05 16:30:00,8110.24,33.82,TRADE
NSW1,2016/09/05 17:00:00,8316.71,35.55,TRADE
NSW1,2016/09/05 17:30:00,8682.07,43.39,TRADE
NSW1,2016/09/05 18:00:00,9177.62,71.95,TRADE
NSW1,2016/09/05 18:30:00,9635.77,185.28,TRADE
NSW1,2016/09/05 19:00:00,9633.34,83.67,TRADE
NSW1,2016/09/05 19:30:00,9432.14,56.54,TRADE
NSW1,2016/09/05 20:00:00,9215.08,50.37,TRADE
NSW1,2016/09/05 20:30:00,9083,48.66,TRADE
NSW1,2016/09/05 21:00:00,8878.25,48.76,TRADE
NSW1,2016/09/05 21:30:00,8677.45,44.90,TRADE
NSW1,2016/09/05 22:00:00,8339.91,36.86,TRADE
NSW1,2016/09/05 22:30:00,8381.66,52.94,TRADE
NSW1,2016/09/05 23:00:00,8194.52,42.26,TRADE
NSW1,2016/09/05 23:30:00,8092.56,37.79,TRADE
NSW1,2016/09/06 00:00:00,7983.62,40.49,TRADE
NSW1,2016/09/06 00:30:00,7849.4,37.68,TRADE
NSW1,2016/09/06 01:00:00,7682.3,35.94,TRADE
NSW1,2016/09/06 01:30:00,7501.34,38.11,TRADE
NSW1,2016/09/06 02:00:00,7339.19,39.87,TRADE
NSW1,2016/09/06 02:30:00,7011.74,37.78,TRADE
NSW1,2016/09/06 03:00:00,6750.02,32.80,TRADE
NSW1,2016/09/06 03:30:00,6543.65,30.33,TRADE
NSW1,2016/09/06 04:00:00,6462.84,29.84,TRADE
NSW1,2016/09/06 04:30:00,6475.19,30.88,TRADE
NSW1,2016/09/06 05:00:00,6601.77,30.54,TRADE
NSW1,2016/09/06 05:30:00,6904.35,28.87,TRADE
NSW1,2016/09/06 06:00:00,7367.8,30.26,TRADE
NSW1,2016/09/06 06:30:00,8119.8,44.39,TRADE
NSW1,2016/09/06 07:00:00,8711.21,58.37,TRADE
NSW1,2016/09/06 07:30:00,8988.31,40.62,TRADE
NSW1,2016/09/06 08:00:00,8975.32,45.43,TRADE
NSW1,2016/09/06 08:30:00,8913.14,39.21,TRADE
NSW1,2016/09/06 09:00:00,8606.09,35.12,TRADE
NSW1,2016/09/06 09:30:00,8435.51,34.68,TRADE
NSW1,2016/09/06 10:00:00,8280.54,35.70,TRADE
NSW1,2016/09/06 10:30:00,8156.6,34.11,TRADE
NSW1,2016/09/06 11:00:00,8075.86,32.07,TRADE
NSW1,2016/09/06 11:30:00,7873.73,30.97,TRADE
NSW1,2016/09/06 12:00:00,7833.01,30.69,TRADE
NSW1,2016/09/06 12:30:00,7761.31,31.16,TRADE
NSW1,2016/09/06 13:00:00,7728.09,31.60,TRADE
NSW1,2016/09/06 13:30:00,7668.04,30.78,TRADE
NSW1,2016/09/06 14:00:00,7660.43,31.64,TRADE
NSW1,2016/09/06 14:30:00,7735.92,30.78,TRADE
NSW1,2016/09/06 15:00:00,7739.58,30.68,TRADE
NSW1,2016/09/06 15:30:00,7844.03,31.20,TRADE
NSW1,2016/09/06 16:00:00,7981.85,34.01,TRADE
NSW1,2016/09/06 16:30:00,8030.26,31.34,TRADE
NSW1,2016/09/06 17:00:00,8231.2,31.95,TRADE
NSW1,2016/09/06 17:30:00,8480.08,37.28,TRADE
NSW1,2016/09/06 18:00:00,8953.01,52.23,TRADE
NSW1,2016/09/06 18:30:00,9385.75,67.67,TRADE
NSW1,2016/09/06 19:00:00,9394.33,65.21,TRADE
NSW1,2016/09/06 19:30:00,9188.59,45.44,TRADE
NSW1,2016/09/06 20:00:00,9033.78,41.09,TRADE
NSW1,2016/09/06 20:30:00,8854.66,36.09,TRADE
NSW1,2016/09/06 21:00:00,8730.39,36.96,TRADE
NSW1,2016/09/06 21:30:00,8464.99,34.87,TRADE
NSW1,2016/09/06 22:00:00,8254.57,31.11,TRADE
NSW1,2016/09/06 22:30:00,8212.26,38.01,TRADE
NSW1,2016/09/06 23:00:00,7998.63,34.41,TRADE
NSW1,2016/09/06 23:30:00,7986.28,37.57,TRADE
NSW1,2016/09/07 00:00:00,7839.35,34.73,TRADE
NSW1,2016/09/07 00:30:00,7758.82,30.68,TRADE
NSW1,2016/09/07 01:00:00,7526.09,30.22,TRADE
NSW1,2016/09/07 01:30:00,7414.97,31.01,TRADE
NSW1,2016/09/07 02:00:00,7145.81,29.73,TRADE
NSW1,2016/09/07 02:30:00,6786.46,29.23,TRADE
NSW1,2016/09/07 03:00:00,6553.1,27.41,TRADE
NSW1,2016/09/07 03:30:00,6377.51,27.14,TRADE
NSW1,2016/09/07 04:00:00,6281.64,26.88,TRADE
NSW1,2016/09/07 04:30:00,6288.4,27.72,TRADE
NSW1,2016/09/07 05:00:00,6433.84,27.43,TRADE
NSW1,2016/09/07 05:30:00,6700.12,24.86,TRADE
NSW1,2016/09/07 06:00:00,7121.18,27.03,TRADE
NSW1,2016/09/07 06:30:00,7852.28,56.40,TRADE
NSW1,2016/09/07 07:00:00,8418.74,51.18,TRADE
NSW1,2016/09/07 07:30:00,8591.89,34.76,TRADE
NSW1,2016/09/07 08:00:00,8714.78,41.96,TRADE
NSW1,2016/09/07 08:30:00,8672.58,39.69,TRADE
NSW1,2016/09/07 09:00:00,8409.6,36.96,TRADE
NSW1,2016/09/07 09:30:00,8324.82,34.35,TRADE
NSW1,2016/09/07 10:00:00,8215.78,31.04,TRADE
NSW1,2016/09/07 10:30:00,8161.13,31.42,TRADE
NSW1,2016/09/07 11:00:00,8121.1,31.95,TRADE
NSW1,2016/09/07 11:30:00,8028.02,32.60,TRADE
NSW1,2016/09/07 12:00:00,7969.6,32.72,TRADE
NSW1,2016/09/07 12:30:00,7960.21,31.61,TRADE
NSW1,2016/09/07 13:00:00,7912.65,31.09,TRADE
NSW1,2016/09/07 13:30:00,7861.82,30.09,TRADE
NSW1,2016/09/07 14:00:00,7858.56,29.96,TRADE
NSW1,2016/09/07 14:30:00,7824.5,29.82,TRADE
NSW1,2016/09/07 15:00:00,7829.73,29.27,TRADE
NSW1,2016/09/07 15:30:00,7842.81,29.96,TRADE
NSW1,2016/09/07 16:00:00,7968.83,29.69,TRADE
NSW1,2016/09/07 16:30:00,8073.79,30.10,TRADE
NSW1,2016/09/07 17:00:00,8226.81,29.55,TRADE
NSW1,2016/09/07 17:30:00,8419.83,29.96,TRADE
NSW1,2016/09/07 18:00:00,8802.84,31.39,TRADE
NSW1,2016/09/07 18:30:00,9140.54,33.17,TRADE
NSW1,2016/09/07 19:00:00,9135.01,33.05,TRADE
NSW1,2016/09/07 19:30:00,8951.48,29.41,TRADE
NSW1,2016/09/07 20:00:00,8723.48,28.53,TRADE
NSW1,2016/09/07 20:30:00,8546.57,26.91,TRADE
NSW1,2016/09/07 21:00:00,8391.95,27.34,TRADE
NSW1,2016/09/07 21:30:00,8166.03,27.46,TRADE
NSW1,2016/09/07 22:00:00,7949.13,27.10,TRADE
NSW1,2016/09/07 22:30:00,8060.22,45.14,TRADE
NSW1,2016/09/07 23:00:00,7834.81,28.44,TRADE
NSW1,2016/09/07 23:30:00,7821.8,29.31,TRADE
NSW1,2016/09/08 00:00:00,7720.03,28.65,TRADE
NSW1,2016/09/08 00:30:00,7570.48,30.26,TRADE
NSW1,2016/09/08 01:00:00,7398.61,35.76,TRADE
NSW1,2016/09/08 01:30:00,7235.88,38.61,TRADE
NSW1,2016/09/08 02:00:00,7034.16,38.31,TRADE
NSW1,2016/09/08 02:30:00,6698.24,36.96,TRADE
NSW1,2016/09/08 03:00:00,6470.83,35.37,TRADE
NSW1,2016/09/08 03:30:00,6297.43,30.80,TRADE
NSW1,2016/09/08 04:00:00,6238.69,30.49,TRADE
NSW1,2016/09/08 04:30:00,6228.34,30.11,TRADE
NSW1,2016/09/08 05:00:00,6341.72,32.76,TRADE
NSW1,2016/09/08 05:30:00,6654.38,41.72,TRADE
NSW1,2016/09/08 06:00:00,7012.22,36.74,TRADE
NSW1,2016/09/08 06:30:00,7624.37,33.48,TRADE
NSW1,2016/09/08 07:00:00,8137.89,34.27,TRADE
NSW1,2016/09/08 07:30:00,8363.44,27.51,TRADE
NSW1,2016/09/08 08:00:00,8553.71,28.12,TRADE
NSW1,2016/09/08 08:30:00,8553.07,27.41,TRADE
NSW1,2016/09/08 09:00:00,8331.63,26.82,TRADE
NSW1,2016/09/08 09:30:00,8389.53,29.96,TRADE
NSW1,2016/09/08 10:00:00,8326.03,29.96,TRADE
NSW1,2016/09/08 10:30:00,8250.52,30.10,TRADE
NSW1,2016/09/08 11:00:00,8139.53,29.96,TRADE
