Capacity (MW),Total Revenue ($),Revenue Energy Market ($),Revenue Day-ahead ($),Revenue Real-time ($),Revenue Ancillary Service ($),Proportion of Revenue from AS (%),
10, $824'280 , $134'460 , $139'670 , $-5'209 , $689'820 ,0.836875819, $82'428 
100, $7'742'900 , $1'468'200 , $1'524'600 , $-56'363 , $6'274'700 ,0.810381123, $77'429 
1000, $44'860'000 , $17'212'000 , $17'863'000 , $-651'170 , $27'648'000 ,0.616317432, $44'860 
5000, $156'130'000 , $111'520'000 , $115'280'000 , $-3'761'900 , $44'606'000 ,0.285697816, $31'226 
8000, $231'350'000 , $184'160'000 , $190'300'000 , $-6'146'300 , $47'192'000 ,0.203985304, $28'919 
10000, $271'670'000 , $221'690'000 , $229'100'000 , $-7'409'900 , $49'977'000 ,0.18396216, $27'167 
20000, $357'150'000 , $284'340'000 , $293'490'000 , $-9'147'900 , $72'813'000 ,0.203872323, $17'858 
50000, $400'860'000 , $319'280'000 , $326'550'000 , $-7'267'200 , $81'584'000 ,0.203522427, $8'017 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Capacity (MW),Risk factor 0,Risk factor 0.2,Risk factor 0.5,Risk factor 0,Risk factor 0.2,Risk factor 0.5,
10, $12'473'000 , $824'280 , $425'610 ,1.037280526,0.836875819,0.599187049,
100, $89'900'000 , $7'742'900 , $4'256'100 ,1.02407119,0.810381123,0.599187049,
1000, $114'290'000 , $44'860'000 , $33'888'000 ,0.80587978,0.616317432,0.414335458,
5000, $219'060'000 , $156'130'000 , $141'520'000 ,0.420451018,0.285697816,0.153886376,
8000, $293'320'000 , $231'350'000 , $216'240'000 ,0.314012001,0.203985304,0.107829264,
10000, $332'220'000 , $271'670'000 , $255'800'000 ,0.277250015,0.18396216,0.09623534,
20000, $401'830'000 , $357'150'000 , $333'390'000 ,0.229256153,0.203872323,0.119424698,
50000, $438'520'000 , $400'860'000 , $374'520'000 ,0.210077077,0.203522427,0.132890099,